Combo,Weight,EV
Ac9h3s2s,8.555417782737906E-18,-53999.999999999956
AhTh3s2s,3.872130770661681E-16,-54000.0
Th3s2d2s,5.85565348163954E-17,-53999.99999999997
Th8d3s2s,2.4222496194613813E-17,-53999.999999999854
TdTh3s2s,1.339907510064236E-16,-53999.99999999998
Th3s2c2s,5.85565348163954E-17,-53999.99999999997
Th8c3s2s,2.4222496194613813E-17,-53999.999999999854
TcTh3s2s,1.339907510064236E-16,-53999.99999999998
Jh4d3s2s,8.7435167486486E-17,-53999.99999999957
Jh6d3s2s,5.331652351559495E-17,-53999.999999999854
JdJh3s2s,5.259596169657462E-16,-54000.000000000175
QdJh3s2s,1.070464052526816E-17,-54000.00000000022
Jh4c3s2s,8.7435167486486E-17,-53999.99999999957
Jh6c3s2s,5.331652351559495E-17,-53999.999999999854
JcJh3s2s,5.259596169657462E-16,-54000.000000000175
QcJh3s2s,1.070464052526816E-17,-54000.00000000022
QhJd3s2s,1.070464052526816E-17,-54000.00000000022
QdQh3s2s,7.418260325706666E-15,-53999.99999999965
QhJc3s2s,1.070464052526816E-17,-54000.00000000022
QcQh3s2s,7.418260325706666E-15,-53999.99999999965
Ah9d3s2s,8.555417782737906E-18,-53999.999999999956
AdAh3s2s,5.059046885155962E-16,-54000.00000000044
Ah9c3s2s,8.555417782737906E-18,-53999.999999999956
AcAh3s2s,5.059046885155962E-16,-54000.00000000044
3d3s2d2s,1.1804058408879586E-14,-54000.000000000706
Jd3s2d2s,7.505418178071234E-18,-54000.00000000011
Tc3s2d2s,5.85565348163954E-17,-53999.99999999997
8d3d3s2s,1.4388925869760964E-16,-54000.0000000001
Qd3d3s2s,9.032431797932392E-17,-54000.00000000024
Qd4d3s2s,3.8207485472733045E-16,-53999.999999999614
Jc4d3s2s,8.7435167486486E-17,-53999.99999999957
6d5d3s2s,5.378599280492439E-18,-54000.00000000003
Jd6d3s2s,6.484542930160975E-16,-53999.99999999995
Jc6d3s2s,5.331652351559495E-17,-53999.999999999854
Jd7d3s2s,1.1459055795110119E-15,-54000.00000000015
Kd7d3s2s,4.2336563899433114E-16,-54000.00000000044
Jd8d3s2s,2.019449378681812E-15,-53999.999999999935
Tc8d3s2s,2.4222496194613813E-17,-53999.999999999854
Td9d3s2s,3.5602188346722967E-16,-53999.99999999971
Ac9d3s2s,8.555417782737906E-18,-53999.999999999956
AdTd3s2s,3.872130770661681E-16,-54000.0
Td3s2c2s,5.85565348163954E-17,-53999.99999999997
Td8c3s2s,2.4222496194613813E-17,-53999.999999999854
TcTd3s2s,1.339907510064236E-16,-53999.99999999998
Jd4c3s2s,8.7435167486486E-17,-53999.99999999957
Jd6c3s2s,5.331652351559495E-17,-53999.999999999854
JcJd3s2s,5.259596169657462E-16,-54000.000000000175
QcJd3s2s,1.070464052526816E-17,-54000.00000000022
QdJc3s2s,1.070464052526816E-17,-54000.00000000022
QcQd3s2s,7.418260325706666E-15,-53999.99999999965
Ad9c3s2s,8.555417782737906E-18,-53999.999999999956
AcAd3s2s,5.059046885155962E-16,-54000.00000000044
3c3s2c2s,1.1804058408879586E-14,-54000.000000000706
Jc3s2c2s,7.505418178071234E-18,-54000.00000000011
8c3c3s2s,1.4388925869760964E-16,-54000.0000000001
Qc3c3s2s,9.032431797932392E-17,-54000.00000000024
Qc4c3s2s,3.8207485472733045E-16,-53999.999999999614
6c5c3s2s,5.378599280492439E-18,-54000.00000000003
Jc6c3s2s,6.484542930160975E-16,-53999.99999999995
Jc7c3s2s,1.1459055795110119E-15,-54000.00000000015
Kc7c3s2s,4.2336563899433114E-16,-54000.00000000044
Jc8c3s2s,2.019449378681812E-15,-53999.999999999935
Tc9c3s2s,3.5602188346722967E-16,-53999.99999999971
AcTc3s2s,3.872130770661681E-16,-54000.0
7s5s4s2s,3.1321855562311686E-15,-53999.99999999961
8s5s4s2s,1.6891230328063222E-15,-53999.99999999948
Qs5s4s2s,7.963469347207721E-15,-54000.00000000003
Th5s4s2s,1.482602404261842E-15,-53999.999999999425
Kh5s4s2s,1.958389170435467E-15,-53999.999999998894
Td5s4s2s,1.482602404261842E-15,-53999.999999999425
Kd5s4s2s,1.958389170435467E-15,-53999.999999998894
Tc5s4s2s,1.482602404261842E-15,-53999.999999999425
Kc5s4s2s,1.958389170435467E-15,-53999.999999998894
Js7s4s2s,3.992739176369755E-15,-54000.000000000015
7s5h4s2s,6.408024517578932E-18,-54000.00000000063
7s5d4s2s,6.408024517578932E-18,-54000.00000000063
7s5c4s2s,6.408024517578932E-18,-54000.00000000063
Ks8s4s2s,1.8613105180983582E-14,-54000.000000000124
8s4s2h2s,9.319713056525797E-16,-54000.00000000003
9h8s4s2s,9.664171599615787E-16,-54000.00000000017
8s4s2d2s,9.319713056525797E-16,-54000.00000000003
9d8s4s2s,9.664171599615787E-16,-54000.00000000017
8s4s2c2s,9.319713056525797E-16,-54000.00000000003
9c8s4s2s,9.664171599615787E-16,-54000.00000000017
Qh9s4s2s,1.3217135709618243E-15,-54000.000000000495
Qd9s4s2s,1.3217135709618243E-15,-54000.000000000495
Qc9s4s2s,1.3217135709618243E-15,-54000.000000000495
QsJs4s2s,5.691576183243537E-15,-53999.99999999987
Js4s3h2s,1.954517046862937E-15,-54000.00000000039
JhJs4s2s,3.176402876977266E-15,-53999.99999999951
Js4s3d2s,1.954517046862937E-15,-54000.00000000039
JdJs4s2s,3.176402876977266E-15,-53999.99999999951
Js4s3c2s,1.954517046862937E-15,-54000.00000000039
JcJs4s2s,3.176402876977266E-15,-53999.99999999951
Qs4s2h2s,2.7724576074326373E-17,-54000.000000000044
KhQs4s2s,1.5359481391164752E-15,-54000.00000000006
Qs4s2d2s,2.7724576074326373E-17,-54000.000000000044
KdQs4s2s,1.5359481391164752E-15,-54000.00000000006
Qs4s2c2s,2.7724576074326373E-17,-54000.000000000044
KcQs4s2s,1.5359481391164752E-15,-54000.00000000006
Ks4s3h2s,5.863756420259997E-17,-54000.000000000386
KsJh4s2s,1.5790800428889143E-14,-54000.00000000069
Ks4s3d2s,5.863756420259997E-17,-54000.000000000386
KsJd4s2s,1.5790800428889143E-14,-54000.00000000069
Ks4s3c2s,5.863756420259997E-17,-54000.000000000386
KsJc4s2s,1.5790800428889143E-14,-54000.00000000069
6h4s2h2s,1.1144737588718337E-16,-54000.00000000016
9d4s2h2s,1.3596994034969743E-16,-54000.0000000001
Ad4s2h2s,1.1652918997683107E-16,-53999.999999999905
9c4s2h2s,1.3596994034969743E-16,-54000.0000000001
Ac4s2h2s,1.1652918997683107E-16,-53999.999999999905
4s3d3h2s,4.774787908744685E-15,-53999.99999999998
Td4s3h2s,2.0592926390804058E-16,-53999.999999999476
Jd4s3h2s,7.012817339056943E-17,-54000.000000000466
Ad4s3h2s,5.251034081723906E-17,-53999.99999999997
4s3c3h2s,4.774787908744685E-15,-53999.99999999998
Tc4s3h2s,2.0592926390804058E-16,-53999.999999999476
Jc4s3h2s,7.012817339056943E-17,-54000.000000000466
Ac4s3h2s,5.251034081723906E-17,-53999.99999999997
Jh4h4s2s,1.1347041207313896E-15,-54000.00000000011
Ah4h4s2s,1.0918663747704873E-16,-54000.00000000038
7d4h4s2s,5.4285705270029916E-17,-53999.99999999954
7c4h4s2s,5.4285705270029916E-17,-53999.99999999954
6h5h4s2s,1.5939954141769957E-16,-54000.00000000008
9h7h4s2s,4.604991716891277E-16,-53999.999999999614
Ah7h4s2s,1.7339351759805926E-15,-54000.00000000013
7h4d4s2s,5.4285705270029916E-17,-53999.99999999954
7d7h4s2s,1.1360116276194746E-15,-53999.9999999995
Jd7h4s2s,2.5354420711728355E-16,-54000.00000000069
7h4c4s2s,5.4285705270029916E-17,-53999.99999999954
7c7h4s2s,1.1360116276194746E-15,-53999.9999999995
Jc7h4s2s,2.5354420711728355E-16,-54000.00000000069
9h4s2d2s,1.3596994034969743E-16,-54000.0000000001
9h4s2c2s,1.3596994034969743E-16,-54000.0000000001
